gene	NM
ABL1	NM_005157
AKT1	NM_001014431
ALK	NM_001353765
APC	NM_001127511
ATM	NM_001351834
ATM;C11orf65	NM_001351834
BRAF	NM_001378470
CDH1	NM_001317184
CDKN2A	NM_001195132
CSF1R	NM_001288705
CTNNB1	NM_001098209
EGFR	NM_001346897
ERBB2	NM_001382806
ERBB4	NM_001042599
EZH2	NM_001203249
FBXW7	NM_001349798
FGFR1	NM_001174066
FGFR2	NM_001144917
FGFR3	NM_001163213
FLT3	NM_004119
GNA11	NM_002067
GNAQ	NM_002072
GNAS	NM_001077489
HNF1A	NM_001306179
HRAS	NM_001130442
IDH1	NM_001282386
IDH2	NM_001289910
JAK2	NM_001322204
JAK3	NM_000215
KDR	NM_002253
KIT	NM_001093772
KRAS	NM_001369786
MET	NM_001127500
MLH1	NM_001354629
MPL	NM_005373
NOTCH1	NM_017617
NPM1	NM_001355007
NRAS	NM_002524
PDGFRA	NM_001347827
PIK3CA	NM_006218
PTEN	NM_001304717
PTPN11	NM_001330437
RB1	NM_000321
RET	NM_001355216
SMAD4	NM_005359
SMARCB1	NM_001007468
SMO	NM_005631
SRC	NM_005417
STK11	NM_000455
TP53	NM_001126112
VHL	NM_001354723
